id,Nival,Upper alpine,Lower alpine,Upper montane,Lower montane,Mountain with frost,Mountain without frost
Khrebet Tarbagatay,0,0,0,165,19300,21,0
Khrebet Taskyl,0,0,146,39,0,0,0
Khrebet Tas-Kystaby,0,0,0,0,0,0,0
Khrebet Terskey Alatau,0,0,0,5070,34200,0,0
Khrebet Tukuringra,0,0,0,35,0,0,0
Khrebet Tumat-Tayga,0,0,0,93,409,0,0
Khrebet Turana,0,0,0,128,76,0,0
Khrebet Udokan,0,0,67,303,0,0,0
Khrebet Ulan-Burgasy,0,0,0,402,3920,0,0
Khrebet Ush-Urekchen,0,0,25,0,0,0,0
Khrebet Yakan,0,0,0,68,0,0,0
Khrebet Yam-Alin',0,0,0,72,0,0,0
Khrebet Zailiyskiy Alatau,0,0,0,418,6860,241,0
Khude Hills,0,0,0,0,0,780,54
Kii-sanchi,0,0,0,0,274000,33300,0
Kirgizskiy Khrebet,0,0,0,1140,11200,110,0
Kirthar Range,0,0,0,0,0,5650,6430
Kocakatran Dagi,0,0,0,857,15200,60400,0
Konginskiye Gory,0,0,0,0,0,0,0
Kopet Dagh Moutain Range,0,0,0,0,50000,16400,0
Koroglu Daglari,0,0,0,0,280000,0,0
Koryakskiy Khrebet,0,29,229,15,0,0,0
Kratke Range,0,0,0,0,1880,0,39900
Kugitangtau Khrebet,0,0,0,0,1760,95,0
Kuh-e Aladagh,0,0,0,0,34900,37100,0
Kueh-e Aliabad,0,0,0,0,8650,2540,0
Kueh-e Binalud,0,0,0,0,134,135,4160
Kueh-e Birag,3290,4660,13600,17600,33800,13500,0
Kueh-e Bozqush,0,0,45,272,54600,24900,0
Kueh-e Jebal Barez,0,0,0,424,0,0,0
Kueh-e Karkas,0,0,0,0,0,0,0
Kueh-e Masahun,0,0,0,39200,1630000,0,0
Kueh-e Mishab,0,0,0,317,1360,0,0
Kueh-e Sahand,0,0,0,0,274000,365000,0
Kuh-e Shah Jehan,0,0,0,0,5890,998,0
Kueh-e Taftan,0,0,0,0,6970,0,0
Kueh haye Sabalan,0,0,0,0,0,321,0
Kumon Range,0,0,0,0,10900,0,0
Kunlun Shan,0,0,0,0,26500,10100,133
Kuraminskiy Khrebet,0,0,0,0,10900,3940,0
Kuroyskiy Khrebet,0,0,0,0,312,0,0
Kurutag,0,0,0,0,7790,47,0
Kuzey Anadolu Daglari / Pontus Mountains,0,0,0,0,21400,0,0
Kuznetskiy Alatau,0,0,0,0,0,132,0
Kyushu-sanchi,0,0,0,118,8400,0,0
Ladakh Range,0,901,6090,35200,22400,3900,0
Lang Shan,0,0,0,0,1320,29900,0
Lenglong Ling,48,645,7000,94400,52800,0,0
Lesser Caucasus,0,0,1070,99800,1240000,3310,0
Liangwang Shan,0,0,0,9250,155000,43000,0
Liupan Shan,0,0,0,7150,67700,0,0
Longgang Shan,0,0,0,0,197000,46600,0
Longshou Shan,0,0,0,211,2680,0,0
Lueliang Shan,0,0,0,26900,169000,315000,58600
Lunan Shan,0,0,0,422,612000,236000,0
Madra Dagi,0,0,0,0,11800,934,0
Madran Baba Dagi,0,0,0,0,4510,13700,0
Mahadeo Hills,0,0,0,0,0,0,11300
Maikala Range,0,0,0,0,0,0,189000
Maitland Range,0,0,0,0,0,0,35300
Malakand Range,3590,9070,29500,120000,1540000,3190000,0
Malatya Daglari,0,0,0,0,37400,6210,0
Malendiz Dagi,0,0,0,95,25600,0,0
Marcal Dagi,0,0,0,0,912,17800,0
Mardin Platosu,0,0,0,0,2390,6960,0
Maymandzhinskiy Khrebet,0,59,147,0,0,0,0
Meghalaya,0,0,0,0,0,86400,749000
Mercan Daglari,0,0,0,0,66000,53900,0
Mescit Daglari,0,0,0,5470,28100,0,0
Mianmian Shan,0,0,3020,114000,22000,346,0
Micang Shan,0,0,0,0,1060000,1540000,0
Mikuni-sammyaku,0,0,0,724,176000,23200,0
Min Shan,101,330,19200,288000,2560000,603000,0
Mindanao,0,0,0,0,0,0,384000
Mingin Range,0,0,0,0,0,0,36300
Mishmi Hills,26,2910,67500,114000,63000,14000,28700
Momskiy Khrebet,0,0,0,0,0,0,0
